Location ID	Aquifer	Latitude	Longitude	Ground Elevation	Geologic Unit Code	Well Installation Date	Total Well Depth [ft]	Well Diameter [in]	Screen Top [ft]	Screen Bottom [ft]	Comments	WELL_COMPLETION_REPORT_URL	Monitoring Area	Watershed	Well Status	Inactive Date	TOC Elevation	LWA Notes	Source
R-53 S2	Regional	35.8368	-106.25104	6689.98	Tpf	NULL	NULL	NULL	959.7	980.200	NULL, NULL, brass cap location, estimated location pending survey, brass cap location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-54 S2	Regional	35.83609	-106.25544	6679.85	Tpf	NULL	NULL	NULL	915	925.000	NULL, NULL, Brass Cap location, Brass Cap location, Brass cap location	NULL	TA-54	Pajarito	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-55 S1	Regional	35.82969	-106.22751	6533.86	Tpt	NULL	NULL	NULL	860	880.600	NULL, NULL, Brass cap surveyed location, brass cap surveyed location, brass cap surveyed location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-55 S2	Regional	35.82969	-106.22751	6533.86	Tcar	NULL	NULL	NULL	994.4	1015.400	NULL, NULL, Brass cap surveyed location, brass cap surveyed location, brass cap surveyed location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-56 S1	Regional	35.83456	-106.24969	6780.88	Tpf	NULL	NULL	NULL	945	965.600	NULL, NULL, brass cap location, brass cap location, Brass cap location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-56 S2	Regional	35.83456	-106.24969	6780.88	Tpf	NULL	NULL	NULL	1046.6	1067.100	NULL, NULL, brass cap location, Brass cap location, brass cap location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-57 S1	Regional	35.82987	-106.23417	6648.04	Tb4	NULL	NULL	NULL	910	930.500	NULL, NULL, Brass cap location, Brass cap location, Brass cap location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-57 S2	Regional	35.82987	-106.23417	6648.04	Tpt	NULL	NULL	NULL	971.5	992.100	NULL, NULL, Brass cap location, Brass cap location, Brass cap location	NULL	TA-54	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-6	Regional	35.87533	-106.26487	6995.8	Tf	2004-12-04 00:00:00	1252.00	4.5	1205	1228.000	NULL, Surface Pad installation date is Surface Pad Start Date on IMF. Comp Depth set at bottom of casing. Surface pad thickness reported as 6, Location info taken from Brass cap monument survey data from R-6/R-6i WCR., Location info taken from Brass cap monument survey data from R-6/R-6i WCR.	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-60	Regional	35.86057	-106.29618	7228.17	Tpf	2010-10-18 00:00:00	1360.90	5	1330	1350.900	NULL, NULL, Brass Cap location from well completion report, Brass Cap location from well completion report, Brass Cap location from well completion report	NULL	MDA C	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-61 S1	Regional	35.85758	-106.2612	6940.12	Tpf	NULL	NULL	NULL	1125	1135.000	NULL, NULL, Preliminary information, Brass cap location from WCR, rounded to 2 digits, Brass cap location from WCR, rounded to 2 digits	NULL	Chromium	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-62	Regional	35.86312	-106.26647	6984.88	Tpf	2011-10-03 00:00:00	1189.7	5.0	1158.4	1179.1	NULL, NULL, Updated Location information from e-mail from RJK 4/2/2012, Updated Location information from e-mail from RJK 4/2/2012	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-64	Regional	35.8772	-106.27541	7121.74	Tjfp	2011-07-11 00:00:00	1316.10	5	1285	1305.500	NULL, NULL, Preliminary information, brass cap location rounded to decimal places, brass cap location rounded to decimal places	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-66	Regional	35.87309	-106.25987	6626.96	Tcar	2011-11-16 00:00:00	849.8	5.11	819.4	839.7	NULL, Top of outer casing 3.59 ft above brass cap, Replacement well located just to the east of O-4.  TW-3 replacement well.   Location for potential contaminants  from upper Los Alamos and  DP Canyons and TA-21.	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-67	Regional	35.87035	-106.29012	7123.25	Tjfp	2015-07-06 00:00:00	1276.94	5	1242.6	1263	NULL, NULL	NULL	Chromium	Sandia	A	NULL	[84]	Ground Elevation updated from MW, Geologic Unit Code updated from MW	Well Info	
R-6i	Intermediate	35.87534	-106.26493	6996.9	Tf	2004-12-20 00:00:00	615.00	4.5	602	612.000	NULL, Surface Pad installation date estimated from WCR Well Completion Begin Date. Comp Depth set at bottom of casing., Location info taken from Brass cap monument survey data from R-6/R-6i WCR. Added for P Longmire, Location info taken from Brass cap monument survey data from R-6/R-6i WCR. Added for P Longmire, Location info taken from Brass cap monument survey data from R-6/R-6i WCR. Added for P Longmire	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-8 S1	Regional	35.87168	-106.24756	6544.74	Tp	NULL	NULL	NULL	705.31	755.700	NULL, NULL, Location info taken from Brass cap monument survey data from R-8 WCR., Location info taken from Brass cap monument survey data from R-8 WCR., Note:  Original hole P & Ad.  Original hole is 62 ' due east of this one.	NULL	TA-21	Los Alamos	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-8 S2	Regional	35.87168	-106.24756	6544.74	Tp	NULL	NULL	NULL	821	828.000	NULL, NULL, Location info taken from Brass cap monument survey data from R-8 WCR., Location info taken from Brass cap monument survey data from R-8 WCR.	NULL	TA-21	Los Alamos	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
R-9	Regional	35.86698	-106.22361	6382.8	Tsfb	1999-10-18 00:00:00	758.00	4.5 in	683	748.500	NULL, Survey pin was installed with on 9/13/00., Original x, y, z = 1648241.4, 1770843.9, 6385.36, Location info taken from Brass monument survey data from R-9 WCR., Location info taken from Brass monument survey data from R-9 WCR.	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW, Well Diameter [in] updated from MW, Geologic Unit Code updated from MW	Well Info	
R-9i S1	Intermediate	35.86696	-106.22372	6383.2	Tb4	NULL	NULL	NULL	189.1	199.500	NULL, NULL, Location info taken from Brass monument survey data from R-9i WCR., Original x, y, z = 1648208.8, 1770834.7, 6383.85, Location info taken from Brass monument survey data from R-9i WCR.	NULL	TA-21	Los Alamos	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
SCA-1-DP	Alluvial	35.87361	-106.31054	7211.200	NULL	2009-02-18 00:00:00	2.66	2 in	2.16	2.660	Exact coordinates to be determined. Sampling is planned very close to SCA-1., Drive point adjacent to SCA-1, Exact coordinates to be determined. Sampling is planned very close to SCA-1., Exact coordinates to be determined. Sampling is planned very close to SCA-1.	NULL	General	Sandia	A	NULL	[84]	Well Diameter [in] updated from MW	Well Info	
SCI-1	Intermediate	35.86548	-106.26213	6738.27	Tpf	2006-10-07 00:00:00	377.90	3.8	358.4	377.900	NULL, NULL, Brass monument location SCI-1 = SCC-1, Brass monument location SCI-1 = SCC-1, Chromium Invstitgation intermediate well in Sandia Canyon	NULL	Chromium	Sandia	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
SCI-2	Intermediate	35.8637	-106.26101	6735.7	Tb4	2008-09-02 00:00:00	570.00	2	548	568.000	NULL, NULL, Brass monument survey, Brass monument survey	NULL	Chromium	Sandia	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
SCPZ-1	NULL	35.87541	-106.31475	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SCPZ-10	NULL	35.87357	-106.31062	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SCPZ-11(A)	NULL	35.87365	-106.31059	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SCPZ-11(B)	Alluvial	35.87365	-106.3106	NULL	NULL	NULL	NULL	NULL	1	5.4	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SCPZ-12	NULL	35.87371	-106.31058	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SCPZ-2	Alluvial	35.87541	-106.31476	NULL	NULL	NULL	NULL	NULL	6	8.3	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SCPZ-3	NULL	35.87553	-106.31474	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SCPZ-4	NULL	35.87456	-106.31252	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SCPZ-5	Alluvial	35.87467	-106.31248	NULL	NULL	NULL	NULL	NULL	3	5.4	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SCPZ-6	NULL	35.87477	-106.31243	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SCPZ-7	NULL	35.87376	-106.31114	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SCPZ-8	Alluvial	35.87378	-106.3111	NULL	NULL	NULL	NULL	NULL	5.3	7.6	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SCPZ-9	NULL	35.87386	-106.31105	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SIMR-2	Regional	35.85399	-106.25103	6702.3	Tpf	2015-06-16 00:00:00	927.0	5	885	905.4	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW, Geologic Unit Code updated from MW	Well Info	
SWA-1	NULL	35.87542	-106.31476	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SWA-2	NULL	35.87475	-106.31243	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SWA-3	NULL	35.8738	-106.31109	NULL	NULL	NULL	NULL	NULL	NULL	NULL	Formerly SWA-3, NULL, Formerly SWA-3, Formerly SWA-3	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SWA-3-7	Alluvial	35.87376	-106.31114	NULL	NULL	2016-06-27 00:00:00	3.6	2	0.6	3.1	Formerly SCPZ-7, NULL, Formerly SCPZ-7, Formerly SCPZ-7, Formerly SCPZ-7	NULL	General	Sandia	A	NULL	[84]	Aquifer updated from MW	Well Info	
SWA-3-8	Alluvial	35.8738	-106.31109	NULL	NULL	2016-06-27 00:00:00	7.8	2	3.6	7.8	Formerly SWA-3, NULL, Formerly SWA-3, Formerly SWA-3, Formerly SWA-3	NULL	General	Sandia	A	NULL	[84]	Aquifer updated from MW	Well Info	
SWA-3-9	Alluvial	35.87386	-106.31105	NULL	NULL	2016-07-05 00:00:00	5.2	2	2.2	4.7	Formerly SCPZ-9, NULL, Formerly SCPZ-9, Formerly SCPZ-9, Formerly SCPZ-9	NULL	General	Sandia	A	NULL	[84]	Aquifer updated from MW	Well Info	
SWA-4	NULL	35.8737	-106.31056	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SWL-1	NULL	35.87542	-106.31476	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SWL-2	NULL	35.87475	-106.31243	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SWL-3	NULL	35.8738	-106.31109	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
SWL-4	NULL	35.87371	-106.31056	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	General	Sandia	NULL	NULL	[84]		Well Info	
TA-53i	Intermediate	35.86828	-106.26541	6987.17	Tf	2009-03-10 00:00:00	620.80	5	600	610.000	NULL, NULL, Brass cap survey location, Brass cap survey location, Name changed from TA-53-1(i)	NULL	TA-21	Sandia	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
TW-2Ar	Intermediate	35.88485	-106.27122	6651.67	Tpf	2010-03-04 00:00:00	113.90	4.5 in	102	112.000	NULL, NULL, Brass cap location rounded to 2 decimal places. -RJK, Brass cap location rounded to 2 decimal places. -RJK, Brass cap location rounded to 2 decimal places. -RJK	NULL	General	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW, Geologic Unit Code updated from MW, Well Diameter [in] updated from MW	Well Info	
CrEX-4	None	35.859934	-106.2579784	None	None		None	None	None	None	None	None					None		Monitoring Wells	
SWA-1-1	None	35.8754103	-106.3147478	None	None		None	None	None	None	Formerly a piezometer well SCPZ-1, Formerly a piezometer well SCPZ-1, Formerly a piezometer well SCPZ-1	None					None		Monitoring Wells	
SWA-2-4	Alluvial	35.8745609	-106.3125236	None	None		9	2 in	3	9	Formerly SCPZ-4, Formerly SCPZ-4, Formerly SCPZ-4	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12447					7226.48		Monitoring Wells	
R-70 S2	None	35.8596995	-106.2485826	6692.62	None		None	None	1048	1068.5	Coordinates estimated from Google Earth., Spatial data is an estimate only! Will be finalized once well is surveyed.	None					None		Monitoring Wells	
SWA-2-5	Alluvial	35.874674	-106.3124817	None	None		8.96	2 in	3	8.96	Formerly SCPZ-5, Formerly SCPZ-5, Formerly SCPZ-5	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12448					7226.22		Monitoring Wells	
SWA-2-6	Alluvial	35.8747486	-106.3124341	None	None		8.22	2 in	3.12	8.22	Formerly SWA-2, Formerly SWA-2, Formerly SWA-2	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12449					7225.72		Monitoring Wells	
SWA-4-10	Alluvial	35.8735723	-106.3106197	None	None		8.44	2 in	2.5	8.44	Formerly SCPZ-10, Formerly SCPZ-10, Formerly SCPZ-10	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12453					7213.06		Monitoring Wells	
SWA-4-12	Alluvial	35.8737001	-106.3105616	None	None		8.53	2 in	2.99	8.19	Formerly SWA-4, Formerly SWA-4, Formerly SWA-4	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12455					7213.04		Monitoring Wells	
SWA-4-11	Alluvial	35.8736526	-106.3105976	None	None		9.17	2 in	3	9.17	Formerly SCPZ-11(B), Formerly SCPZ-11(B), Formerly SCPZ-11(B)	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12454					7214.07		Monitoring Wells	
SWA-1-2	None	35.8754177	-106.3147563	None	None		13.6	2 in	6.03	13.17	Formerly SWA-1, Formerly SWA-1, Formerly SWA-1	https://www.intellusnm.com/documents/document-library.cfc?method=retrieveLanlFile&nodeId=12444					7244.53		Monitoring Wells	
SWA-1-3	None	35.875528	-106.3147361	None	None		None	None	None	None	Formerly SCPZ-3, Formerly SCPZ-3, Formerly SCPZ-3	None					None		Monitoring Wells	
R-70 S1	None	35.8596995	-106.2485826	6692.62	None		None	None	963	1004	Coordinates estimated from Google Earth., Spatial data an estimate only! Will be finalized once well is surveyed	None					None		Monitoring Wells	
MCA-RLW-2	None	35.861675	-106.272661111	6847.7	None		None	None	None	None	None	None					None		Monitoring Wells	
CrIN-6		35.861222300000	-106.250741600000																Chromium Data	
CRPZ-1		35.859008600000	-106.261081400000																Chromium Data	
